TransID,CustID,TransTotal,TransNumItems,TransDesc
1,51,1162.24,2,nITdgRdbCrChPyMLcEAnoNxnRw
2,57,1740.61,2,BoIORaJPhDLnSbYZlwyitnSPhqAFAmgVrkBvwEV
3,184,811.52,9,faaKhcphLlszChqxhipwmoHkJMBYJOupZlKlQCPhi
4,85,323.63,15,YCRxwwPNtjYkUXWZIVlTAsRlPzggKUSWAr
5,108,438.8,8,GtFBNDSBWotGaeeMmmAunUuvdbexcuBo
6,92,936.75,12,vwVidHjbSFZlcGWAggvrPLbTbGphVELfN
7,67,1569.22,7,JOsCKILPwnGsRSoxdKARgPZSkB
8,136,30.85,7,TyUulNPqgInHJFTEQhMskLpzuxbAAijLMAmeNadehzNtlgNE
9,105,218.97,10,ONyBqmWDyLaMJkcKJmbPRsCMkDvbFsJBFPqQNXIZJMWJDh
10,105,734.45,2,AUsGXThffpPjoQvnQpefpMCGxxuQgOgtbYQtafZvksl
11,130,1930.66,13,KKRPAZasoOfuoydChjSKSQrHnDtxVQF
12,95,1602.86,14,OvRtMfFwhmAcycforKXCQ
13,104,240.61,7,HvzcLPspmFBiSCRLDyphiW
14,55,1061.31,3,XGHheUESlzskUBmlppiSfMZAlhRiJsjpVKGgmCtXUMIYXcWWHL
15,59,482.56,11,GgiHIwEKHnkdPDlMdquivDaJ
16,79,1213.27,11,LwpUFsGxKPqxXGVfwgFEGhXiRqTvsFRGkThNgouzuzQUnigzt
17,25,1679.23,15,DnMEHVpnXgkzoPDARVmvbRanDJyrRlwfcHraubQxQKVVyTgz
18,61,455.48,3,qulxeXUoAosOkumtXVgQ
19,134,1452.49,6,cgQCmGLNUDksbkwoDOEtmmm
20,144,1620.58,4,TXCgxsNmQaqJGOaEsulKnVvMVUeboyjfEwAawFEL
21,50,1405.04,9,nxNJFAEzcmdcMMXzIqbdgYaIULsRBrhCN
22,157,1874.56,11,yQgsHEWMxSmpbVWmeYVUMVJoFfJbAzOftl
23,139,880.73,2,qZoxamPjpQgAcdLiqvIkOScWKCxqJOOigFWuwUYTh
24,110,90.08,8,QarqiPFlwxkDtbLcEOrEjpSNEfBJvKRT
25,176,162.83,5,WpXrTiLCkziZCvntFwpebiTDgdhxWnqXsVko
26,99,1265.44,4,JObztoSNsSfOXzdZHqVkjjNrNMMsrkYSB
27,111,1635.66,1,XTzIIvkonqzwTRVPfcZDa
28,189,134.91,5,CTmJBFBKofcveTReiSaMnW
29,198,105.47,5,xlurtJgoXrJJkisWvGKDkBElKwBjzuKZwSLkQLNuhg
30,27,1645.03,5,zRBBBQATWwMgcSavXjeJV
31,63,930.77,11,EiRttcUoCEjZNagkICJwIJrbCuLEaGpbgOpNfEpPJYcJx
32,91,151.78,6,JmyLHznZUGxxXgALqPBOlNXWiaz
33,43,69.0,5,aUtksfJyzOrQTvJRVQyZwVrbfSgZmuhyhWrvTkDGqHNRRHPfY
34,123,137.1,12,PTvJDoVSqHgXmIysyPektuxPbniOZEG
35,130,1520.46,14,UCaUvZWmWsBkMXnlpqPHbOuw
36,48,1175.92,7,rWhYDDNNuCqDDzPCIJOnLSzbuwGMyA
37,189,1842.68,10,PxdKMOQDrXefVzKhOPdqePrbNyEySNGRbUCQHcrpJSUPH
38,28,1794.23,1,YnDvhZMuZFNNIfzgmCkkGRRciwnNfvTZDjpNFX
39,197,1181.3,7,DpLBKfHNjnIXgoIUSbYbSFwFCJbPGJeakh
40,108,1739.7,1,UNqYPWvHpjANxPHtIQAJHLZFAlqCDjXLEACO
41,157,1073.71,15,cTNmwlxbsjAbfzwzOhSaLZQzWGgTMgUzKLQFSkqIA
42,55,1321.91,4,cTvnMNkezAGaeoIisPfjiFGLvpAcxVJTZ
43,125,777.51,3,VRbRBLoithohjmuoAtAogeqZLRjgtBopIxefmUSjxuPH
44,108,1948.66,10,TnNAMTncpiDrECDXjSKv
45,101,548.2,4,mUyglyFajZoEhOFFyiNQoBcTXacQUJxiTjctmHWodGugUKyvVX
46,55,1141.65,9,CpDikKlPHXmpLZwQkdlRNJJKJZvxLjR
47,84,756.2,13,nwhAISISacMgzzRlLWaCtQXRwvmmbXnugsSiIXxsdSnbdqrs
48,69,22.73,1,GokxXyxHKspuXDoBFXimJduSiyiadzTwPfrZSiBIcXYwXjWxv
49,74,1636.28,9,EfEOfcHlAjDyMHCuOObYxVAyVrbTOZZCul
50,116,1268.77,4,FPDaFIMQEdhpTiXZWucpkJXudj
51,154,90.65,14,JxtsvrSgWfhiNMXbWYExzpXFwCCbC
52,84,1596.87,6,SzKYcjuAuQSdCVMlgKhOzxajNbztdGUmKGlGtoBUvhTtjCAtZ
53,25,1559.01,10,sqmSnumhxfIIWVUEqVjaOinWmrzX
54,70,71.23,4,OGsTjxkvYEbsqfcFLUJrRjicZHnhirlWbAHWVJawXZijho
55,145,1285.86,6,vbZhIwzKLBKQACpjYYqLLsT
56,5,59.19,7,XiUayjGUYIXZrpWVhAiTtuHRIboQuLMhEmKuhxeCirkfWJTEvI
57,125,845.98,15,BAwEhBuozJXtkSFkETgkRkKHHZXVbIH
58,75,1998.22,2,LesAImcXXHMOSMmgRTZnjrSYIsNaQSFEfsHH
59,16,1614.96,12,ymmtScMhxxcSAQetpPTFDoAitanrvtyXW
60,18,1390.92,6,KIXputWqpFQCfPEkCgJfUfZZUtLINfbVyyWKtavX
61,58,997.17,4,DMcnllAULuJuQMGbzwYdRVaDVoonAbNoVvrZRSFUmKBFrYu
62,157,1204.24,14,zyQRJanzZOwOydMwRyjLMOWmbjlujnCLeVEStEgsvLvYKPJ
63,71,325.41,15,zAllnNhtPKbosifrzPwKrPEaqrvt
64,62,398.53,12,zqmmbaWSuhGMfJRqhEEwMXNNsuq
65,193,237.43,2,yJRRVSPShvJOaQLQnPVmSXRCOjlhQpNpXUErOFclFxaln
66,56,108.37,8,IZXRYBglMuVgWsfGJsthLAeGmlRUw
67,197,1850.78,10,WksgASvZKYJziHqdTIgSNIzKn
68,88,10.47,4,LBgSAsySaDbyISpYfJLKXoAFmpGxisSbhRj
69,196,635.72,7,nTHHjToJzbUrextSOhsppINVjHidrOFKkzonOLELpAlye
70,55,976.19,2,YcyLEhuiylylKSybWogXMLPd
71,130,1014.13,3,DPMMlBPkYkrbBcXYXhvymRgIdW
72,166,945.44,8,XKYkbfIUWwOQQwhchrWMOZSOac
73,19,693.17,14,OShjwOYKtaHfEowGugxmHmZkVzBTV
74,24,1495.95,8,PTzspflvLKIzSuRDXBLH
